,date,name,point
0,2022-09-12,인생은 뷰티풀: 비타돌체,9.84
1,2022-09-12,탑건: 매버릭,9.77
2,2022-09-12,명탐정 코난: 할로윈의 신부,9.47
3,2022-09-12,알라딘,9.38
4,2022-09-12,범죄도시2,9.35
5,2022-09-12,천녀유혼,9.29
6,2022-09-12,극장판 주술회전 0,9.24
7,2022-09-12,벤허,9.23
8,2022-09-12,코다,9.13
9,2022-09-12,타오르는 여인의 초상,9.03
10,2022-09-12,1917,8.9
11,2022-09-12,중경삼림,8.89
12,2022-09-12,공조2: 인터내셔날,8.86
13,2022-09-12,아웃포스트,8.86
14,2022-09-12,엘비스,8.84
15,2022-09-12,화양연화,8.81
16,2022-09-12,한산: 용의 출현,8.77
17,2022-09-12,펄프 픽션,8.76
18,2022-09-12,헤어질 결심,8.68
19,2022-09-12,육사오(6/45),8.66
20,2022-09-12,라라랜드,8.62
21,2022-09-12,실버라이닝 플레이북,8.57
22,2022-09-12,장고:분노의 추적자,8.56
23,2022-09-12,태일이,8.45
24,2022-09-12,헌트,8.43
25,2022-09-12,바스터즈: 거친 녀석들,8.4
26,2022-09-12,드라이브 마이 카,8.4
27,2022-09-12,레미제라블,8.39
28,2022-09-12,모가디슈,8.34
29,2022-09-12,큐어,8.33
30,2022-09-12,리스본행 야간열차,8.31
31,2022-09-12,킬 빌 - 1부,8.3
32,2022-09-12,문호 스트레이독스 [데드애플],8.27
33,2022-09-12,애프터 양,8.18
34,2022-09-12,릴리 슈슈의 모든 것,8.12
35,2022-09-12,수면의 과학,7.92
36,2022-09-12,블랙폰,7.81
37,2022-09-12,DC 리그 오브 슈퍼-펫,7.79
38,2022-09-12,원스 어폰 어 타임... 인 할리우드,7.7
39,2022-09-12,미니언즈2,7.68
40,2022-09-12,사랑할 땐 누구나 최악이 된다,7.58
41,2022-09-12,썸머 필름을 타고!,7.52
42,2022-09-12,외계+인 1부,7.46
43,2022-09-12,불릿 트레인,6.9
44,2022-09-12,놉,6.8
45,2022-09-12,비상선언,6.58
46,2022-09-12,토르: 러브 앤 썬더,6.43
47,2022-09-12,리미트,5.88
48,2022-09-12,브로커,5.53
49,2022-09-13,인생은 뷰티풀: 비타돌체,9.83
50,2022-09-13,탑건: 매버릭,9.77
51,2022-09-13,명탐정 코난: 할로윈의 신부,9.47
52,2022-09-13,알라딘,9.38
53,2022-09-13,범죄도시2,9.35
54,2022-09-13,천녀유혼,9.29
55,2022-09-13,극장판 주술회전 0,9.24
56,2022-09-13,벤허,9.23
57,2022-09-13,코다,9.13
58,2022-09-13,타오르는 여인의 초상,9.03
59,2022-09-13,1917,8.9
60,2022-09-13,중경삼림,8.89
61,2022-09-13,아웃포스트,8.86
62,2022-09-13,공조2: 인터내셔날,8.84
63,2022-09-13,엘비스,8.83
64,2022-09-13,고양이를 부탁해,8.81
65,2022-09-13,화양연화,8.81
66,2022-09-13,한산: 용의 출현,8.77
67,2022-09-13,펄프 픽션,8.76
68,2022-09-13,본 투 비 블루,8.73
69,2022-09-13,헤어질 결심,8.68
70,2022-09-13,육사오(6/45),8.66
71,2022-09-13,라라랜드,8.62
72,2022-09-13,실버라이닝 플레이북,8.57
73,2022-09-13,장고:분노의 추적자,8.56
74,2022-09-13,태일이,8.45
75,2022-09-13,헌트,8.43
76,2022-09-13,바스터즈: 거친 녀석들,8.4
77,2022-09-13,드라이브 마이 카,8.4
78,2022-09-13,레미제라블,8.39
79,2022-09-13,모가디슈,8.34
80,2022-09-13,큐어,8.33
81,2022-09-13,리스본행 야간열차,8.31
